Query Id,Query,Query Category,System Output,Remarks
Q165,Was the package delivered successfully?,Delivery Investigation,,
Q166,Why was this delivery escalated?,Delivery Investigation,,
Q167,What issue did the customer report?,Delivery Investigation,,
Q168,Was the package delivered successfully?,Delivery Investigation,,
Q169,Why was this delivery escalated?,Delivery Investigation,,
Q170,What issue did the customer report?,Delivery Investigation,,
Q171,Was the package delivered successfully?,Delivery Investigation,,
Q172,Why was this delivery escalated?,Delivery Investigation,,
Q173,What issue did the customer report?,Delivery Investigation,,
Q174,Was the package delivered successfully?,Delivery Investigation,,
Q175,Why was this delivery escalated?,Delivery Investigation,,
Q176,What issue did the customer report?,Delivery Investigation,,
Q177,Was the package delivered successfully?,Delivery Investigation,,
Q178,Why was this delivery escalated?,Delivery Investigation,,
Q179,What issue did the customer report?,Delivery Investigation,,
Q180,Was the package delivered successfully?,Delivery Investigation,,
Q181,Why was this delivery escalated?,Delivery Investigation,,
Q182,What issue did the customer report?,Delivery Investigation,,
Q183,Was the package delivered successfully?,Delivery Investigation,,
Q184,Why was this delivery escalated?,Delivery Investigation,,
Q185,What issue did the customer report?,Delivery Investigation,,
Q186,Was the package delivered successfully?,Delivery Investigation,,
Q187,Why was this delivery escalated?,Delivery Investigation,,
Q188,What issue did the customer report?,Delivery Investigation,,
Q189,Was the package delivered successfully?,Delivery Investigation,,
Q190,Why was this delivery escalated?,Delivery Investigation,,
Q191,What issue did the customer report?,Delivery Investigation,,
Q192,Was the package delivered successfully?,Delivery Investigation,,
Q193,Why was this delivery escalated?,Delivery Investigation,,
Q194,What issue did the customer report?,Delivery Investigation,,
Q195,Was the package delivered successfully?,Delivery Investigation,,
Q196,Why was this delivery escalated?,Delivery Investigation,,
Q197,What issue did the customer report?,Delivery Investigation,,
Q198,Was the package delivered successfully?,Delivery Investigation,,
Q199,Why was this delivery escalated?,Delivery Investigation,,
Q200,What issue did the customer report?,Delivery Investigation,,
Q201,Was the package delivered successfully?,Delivery Investigation,,
Q202,Why was this delivery escalated?,Delivery Investigation,,
Q203,What issue did the customer report?,Delivery Investigation,,
Q204,Was the package delivered successfully?,Delivery Investigation,,
Q205,Why was this delivery escalated?,Delivery Investigation,,
Q206,What issue did the customer report?,Delivery Investigation,,
Q207,Was the package delivered successfully?,Delivery Investigation,,
Q208,Why was this delivery escalated?,Delivery Investigation,,
Q209,What issue did the customer report?,Delivery Investigation,,
Q210,Was the package delivered successfully?,Delivery Investigation,,
Q211,Why was this delivery escalated?,Delivery Investigation,,
Q212,What issue did the customer report?,Delivery Investigation,,
Q213,Was the package delivered successfully?,Delivery Investigation,,
Q214,Why was this delivery escalated?,Delivery Investigation,,
Q215,What issue did the customer report?,Delivery Investigation,,
Q216,Was the package delivered successfully?,Delivery Investigation,,
Q217,Why was this delivery escalated?,Delivery Investigation,,
Q218,What issue did the customer report?,Delivery Investigation,,
Q219,Was the package delivered successfully?,Delivery Investigation,,
Q220,Why was this delivery escalated?,Delivery Investigation,,
Q221,What issue did the customer report?,Delivery Investigation,,
Q222,Was the package delivered successfully?,Delivery Investigation,,
Q223,Why was this delivery escalated?,Delivery Investigation,,
Q224,What issue did the customer report?,Delivery Investigation,,
Q225,Was the package delivered successfully?,Delivery Investigation,,
Q226,Why was this delivery escalated?,Delivery Investigation,,
Q227,What issue did the customer report?,Delivery Investigation,,
Q228,Was the package delivered successfully?,Delivery Investigation,,
Q229,Why was this delivery escalated?,Delivery Investigation,,
Q230,What issue did the customer report?,Delivery Investigation,,
Q231,Was the package delivered successfully?,Delivery Investigation,,
Q232,Why was this delivery escalated?,Delivery Investigation,,
Q233,What issue did the customer report?,Delivery Investigation,,
Q234,Was the package delivered successfully?,Delivery Investigation,,
Q235,Why was this delivery escalated?,Delivery Investigation,,
Q236,What issue did the customer report?,Delivery Investigation,,
Q237,Was the package delivered successfully?,Delivery Investigation,,
Q238,Why was this delivery escalated?,Delivery Investigation,,
Q239,What issue did the customer report?,Delivery Investigation,,
Q240,Was the package delivered successfully?,Delivery Investigation,,
Q241,Why was this delivery escalated?,Delivery Investigation,,
Q242,What issue did the customer report?,Delivery Investigation,,
Q243,Was the package delivered successfully?,Delivery Investigation,,
Q244,Why was this delivery escalated?,Delivery Investigation,,
Q245,What issue did the customer report?,Delivery Investigation,,
Q246,Was the package delivered successfully?,Delivery Investigation,,
Q247,Why was this delivery escalated?,Delivery Investigation,,
Q248,What issue did the customer report?,Delivery Investigation,,
Q249,Was the package delivered successfully?,Delivery Investigation,,
Q250,Why was this delivery escalated?,Delivery Investigation,,
Q251,What issue did the customer report?,Delivery Investigation,,
Q252,Was the package delivered successfully?,Delivery Investigation,,
Q253,Why was this delivery escalated?,Delivery Investigation,,
Q254,What issue did the customer report?,Delivery Investigation,,
Q255,Was the package delivered successfully?,Delivery Investigation,,
Q256,Why was this delivery escalated?,Delivery Investigation,,
Q257,What issue did the customer report?,Delivery Investigation,,
Q258,Was the package delivered successfully?,Delivery Investigation,,
Q259,Why was this delivery escalated?,Delivery Investigation,,
Q260,What issue did the customer report?,Delivery Investigation,,
Q261,Was the package delivered successfully?,Delivery Investigation,,
Q262,Why was this delivery escalated?,Delivery Investigation,,
Q263,What issue did the customer report?,Delivery Investigation,,
Q264,Was the package delivered successfully?,Delivery Investigation,,
Q265,Why was this delivery escalated?,Delivery Investigation,,
Q266,What issue did the customer report?,Delivery Investigation,,
Q267,Was the package delivered successfully?,Delivery Investigation,,
Q268,Why was this delivery escalated?,Delivery Investigation,,
Q269,What issue did the customer report?,Delivery Investigation,,
Q270,Was the package delivered successfully?,Delivery Investigation,,
Q271,Why was this delivery escalated?,Delivery Investigation,,
Q272,What issue did the customer report?,Delivery Investigation,,
Q273,Was the package delivered successfully?,Delivery Investigation,,
Q274,Why was this delivery escalated?,Delivery Investigation,,
Q275,What issue did the customer report?,Delivery Investigation,,
Q276,Was the package delivered successfully?,Delivery Investigation,,
Q277,Why was this delivery escalated?,Delivery Investigation,,
Q278,What issue did the customer report?,Delivery Investigation,,
Q279,Was the package delivered successfully?,Delivery Investigation,,
Q280,Why was this delivery escalated?,Delivery Investigation,,
Q281,What issue did the customer report?,Delivery Investigation,,
Q282,Was the package delivered successfully?,Delivery Investigation,,
Q283,Why was this delivery escalated?,Delivery Investigation,,
Q284,What issue did the customer report?,Delivery Investigation,,
Q285,Was the package delivered successfully?,Delivery Investigation,,
Q286,Why was this delivery escalated?,Delivery Investigation,,
Q287,What issue did the customer report?,Delivery Investigation,,
Q288,Was the package delivered successfully?,Delivery Investigation,,
Q289,Why was this delivery escalated?,Delivery Investigation,,
Q290,What issue did the customer report?,Delivery Investigation,,
Q291,Was the package delivered successfully?,Delivery Investigation,,
Q292,Why was this delivery escalated?,Delivery Investigation,,
Q293,What issue did the customer report?,Delivery Investigation,,
Q294,Was the package delivered successfully?,Delivery Investigation,,
Q295,Why was this delivery escalated?,Delivery Investigation,,
Q296,What issue did the customer report?,Delivery Investigation,,
Q297,Was the package delivered successfully?,Delivery Investigation,,
Q298,Why was this delivery escalated?,Delivery Investigation,,
Q299,What issue did the customer report?,Delivery Investigation,,
Q300,Was the package delivered successfully?,Delivery Investigation,,
Q301,Why was this delivery escalated?,Delivery Investigation,,
Q302,What issue did the customer report?,Delivery Investigation,,
Q303,Was the package delivered successfully?,Delivery Investigation,,
Q304,Why was this delivery escalated?,Delivery Investigation,,
Q305,What issue did the customer report?,Delivery Investigation,,
Q306,Was the package delivered successfully?,Delivery Investigation,,
Q307,Why was this delivery escalated?,Delivery Investigation,,
Q308,What issue did the customer report?,Delivery Investigation,,
Q309,Was the package delivered successfully?,Delivery Investigation,,
Q310,Why was this delivery escalated?,Delivery Investigation,,
Q311,What issue did the customer report?,Delivery Investigation,,
Q312,Was the package delivered successfully?,Delivery Investigation,,
Q313,Why was this delivery escalated?,Delivery Investigation,,
Q314,What issue did the customer report?,Delivery Investigation,,
Q315,Was the package delivered successfully?,Delivery Investigation,,
Q316,Why was this delivery escalated?,Delivery Investigation,,
Q317,What issue did the customer report?,Delivery Investigation,,
Q318,Was the package delivered successfully?,Delivery Investigation,,
Q319,Why was this delivery escalated?,Delivery Investigation,,
Q320,What issue did the customer report?,Delivery Investigation,,
Q321,Was the package delivered successfully?,Delivery Investigation,,
Q322,Why was this delivery escalated?,Delivery Investigation,,
Q323,What issue did the customer report?,Delivery Investigation,,
Q324,Was the package delivered successfully?,Delivery Investigation,,
Q325,Why was this delivery escalated?,Delivery Investigation,,
Q326,What issue did the customer report?,Delivery Investigation,,
Q327,Was the package delivered successfully?,Delivery Investigation,,
Q328,Why was this delivery escalated?,Delivery Investigation,,
Q329,What issue did the customer report?,Delivery Investigation,,
Q330,Was the package delivered successfully?,Delivery Investigation,,
Q331,Why was this delivery escalated?,Delivery Investigation,,
Q332,What issue did the customer report?,Delivery Investigation,,
Q333,Was the package delivered successfully?,Delivery Investigation,,
Q334,Why was this delivery escalated?,Delivery Investigation,,
Q335,What issue did the customer report?,Delivery Investigation,,
Q336,Was the package delivered successfully?,Delivery Investigation,,
Q337,Why was this delivery escalated?,Delivery Investigation,,
Q338,What issue did the customer report?,Delivery Investigation,,
Q339,Was the package delivered successfully?,Delivery Investigation,,
Q340,Why was this delivery escalated?,Delivery Investigation,,
Q341,What issue did the customer report?,Delivery Investigation,,
Q342,Was the package delivered successfully?,Delivery Investigation,,
Q343,Why was this delivery escalated?,Delivery Investigation,,
Q344,What issue did the customer report?,Delivery Investigation,,
Q345,Was the package delivered successfully?,Delivery Investigation,,
Q346,Why was this delivery escalated?,Delivery Investigation,,
Q347,What issue did the customer report?,Delivery Investigation,,
Q348,Was the package delivered successfully?,Delivery Investigation,,
Q349,Why was this delivery escalated?,Delivery Investigation,,
Q350,What issue did the customer report?,Delivery Investigation,,
Q351,Was the package delivered successfully?,Delivery Investigation,,
Q352,Why was this delivery escalated?,Delivery Investigation,,
Q353,What issue did the customer report?,Delivery Investigation,,
Q354,Was the package delivered successfully?,Delivery Investigation,,
Q355,Why was this delivery escalated?,Delivery Investigation,,
Q356,What issue did the customer report?,Delivery Investigation,,
Q357,Was the package delivered successfully?,Delivery Investigation,,
Q358,Why was this delivery escalated?,Delivery Investigation,,
Q359,What issue did the customer report?,Delivery Investigation,,
Q360,Was the package delivered successfully?,Delivery Investigation,,
Q361,Why was this delivery escalated?,Delivery Investigation,,
Q362,What issue did the customer report?,Delivery Investigation,,
Q363,Was the package delivered successfully?,Delivery Investigation,,
Q364,Why was this delivery escalated?,Delivery Investigation,,
Q365,What issue did the customer report?,Delivery Investigation,,
Q366,Was the package delivered successfully?,Delivery Investigation,,
Q367,Why was this delivery escalated?,Delivery Investigation,,
Q368,What issue did the customer report?,Delivery Investigation,,
Q369,Was the package delivered successfully?,Delivery Investigation,,
Q370,Why was this delivery escalated?,Delivery Investigation,,
Q371,What issue did the customer report?,Delivery Investigation,,
Q372,Was the package delivered successfully?,Delivery Investigation,,
Q373,Why was this delivery escalated?,Delivery Investigation,,
Q374,What issue did the customer report?,Delivery Investigation,,
Q375,Was the package delivered successfully?,Delivery Investigation,,
Q376,Why was this delivery escalated?,Delivery Investigation,,
Q377,What issue did the customer report?,Delivery Investigation,,
Q378,Was the package delivered successfully?,Delivery Investigation,,
Q379,Why was this delivery escalated?,Delivery Investigation,,
Q380,What issue did the customer report?,Delivery Investigation,,
Q381,Was the package delivered successfully?,Delivery Investigation,,
Q382,Why was this delivery escalated?,Delivery Investigation,,
Q383,What issue did the customer report?,Delivery Investigation,,
Q384,Was the package delivered successfully?,Delivery Investigation,,
Q385,Why was this delivery escalated?,Delivery Investigation,,
Q386,What issue did the customer report?,Delivery Investigation,,
Q387,Was the package delivered successfully?,Delivery Investigation,,
Q388,Why was this delivery escalated?,Delivery Investigation,,
Q389,What issue did the customer report?,Delivery Investigation,,
Q390,Was the package delivered successfully?,Delivery Investigation,,
Q391,Why was this delivery escalated?,Delivery Investigation,,
Q392,What issue did the customer report?,Delivery Investigation,,
Q393,Was the package delivered successfully?,Delivery Investigation,,
Q394,Why was this delivery escalated?,Delivery Investigation,,
Q395,What issue did the customer report?,Delivery Investigation,,
Q396,Was the package delivered successfully?,Delivery Investigation,,
Q397,Why was this delivery escalated?,Delivery Investigation,,
Q398,What issue did the customer report?,Delivery Investigation,,
Q399,Was the package delivered successfully?,Delivery Investigation,,
Q400,Why was this delivery escalated?,Delivery Investigation,,
Q401,What issue did the customer report?,Delivery Investigation,,
Q402,Was the package delivered successfully?,Delivery Investigation,,
Q403,Why was this delivery escalated?,Delivery Investigation,,
Q404,What issue did the customer report?,Delivery Investigation,,
Q405,Was the package delivered successfully?,Delivery Investigation,,
Q406,Why was this delivery escalated?,Delivery Investigation,,
Q407,What issue did the customer report?,Delivery Investigation,,
Q408,Was the package delivered successfully?,Delivery Investigation,,
Q409,Why was this delivery escalated?,Delivery Investigation,,
Q410,What issue did the customer report?,Delivery Investigation,,
Q411,Was the package delivered successfully?,Delivery Investigation,,
Q412,Why was this delivery escalated?,Delivery Investigation,,
Q413,What issue did the customer report?,Delivery Investigation,,
Q414,Was the package delivered successfully?,Delivery Investigation,,
Q415,Why was this delivery escalated?,Delivery Investigation,,
Q416,What issue did the customer report?,Delivery Investigation,,
Q417,Was the package delivered successfully?,Delivery Investigation,,
Q418,Why was this delivery escalated?,Delivery Investigation,,
Q419,What issue did the customer report?,Delivery Investigation,,
Q420,Was the package delivered successfully?,Delivery Investigation,,
Q421,Why was this delivery escalated?,Delivery Investigation,,
Q422,What issue did the customer report?,Delivery Investigation,,
Q423,Was the package delivered successfully?,Delivery Investigation,,
Q424,Why was this delivery escalated?,Delivery Investigation,,
Q425,What issue did the customer report?,Delivery Investigation,,
Q426,Was the package delivered successfully?,Delivery Investigation,,
Q427,Why was this delivery escalated?,Delivery Investigation,,
Q428,What issue did the customer report?,Delivery Investigation,,
Q429,Was the package delivered successfully?,Delivery Investigation,,
Q430,Why was this delivery escalated?,Delivery Investigation,,
Q431,What issue did the customer report?,Delivery Investigation,,
Q432,Was the package delivered successfully?,Delivery Investigation,,
Q433,Why was this delivery escalated?,Delivery Investigation,,
Q434,What issue did the customer report?,Delivery Investigation,,
Q435,Was the package delivered successfully?,Delivery Investigation,,
Q436,Why was this delivery escalated?,Delivery Investigation,,
Q437,What issue did the customer report?,Delivery Investigation,,
Q438,Was the package delivered successfully?,Delivery Investigation,,
Q439,Why was this delivery escalated?,Delivery Investigation,,
Q440,What issue did the customer report?,Delivery Investigation,,
Q441,Was the package delivered successfully?,Delivery Investigation,,
Q442,Why was this delivery escalated?,Delivery Investigation,,
Q443,What issue did the customer report?,Delivery Investigation,,
Q444,Was the package delivered successfully?,Delivery Investigation,,
Q445,Why was this delivery escalated?,Delivery Investigation,,
Q446,What issue did the customer report?,Delivery Investigation,,
Q447,Was the package delivered successfully?,Delivery Investigation,,
Q448,Why was this delivery escalated?,Delivery Investigation,,
Q449,What issue did the customer report?,Delivery Investigation,,
Q450,Was the package delivered successfully?,Delivery Investigation,,
Q451,Why was this delivery escalated?,Delivery Investigation,,
Q452,What issue did the customer report?,Delivery Investigation,,
Q453,Was the package delivered successfully?,Delivery Investigation,,
Q454,Why was this delivery escalated?,Delivery Investigation,,
Q455,What issue did the customer report?,Delivery Investigation,,
Q456,Was the package delivered successfully?,Delivery Investigation,,
Q457,Why was this delivery escalated?,Delivery Investigation,,
Q458,What issue did the customer report?,Delivery Investigation,,
Q459,Was the package delivered successfully?,Delivery Investigation,,
Q460,Why was this delivery escalated?,Delivery Investigation,,
Q461,What issue did the customer report?,Delivery Investigation,,
Q462,Was the package delivered successfully?,Delivery Investigation,,
Q463,Why was this delivery escalated?,Delivery Investigation,,
Q464,What issue did the customer report?,Delivery Investigation,,
Q465,Was the package delivered successfully?,Delivery Investigation,,
Q466,Why was this delivery escalated?,Delivery Investigation,,
Q467,What issue did the customer report?,Delivery Investigation,,
Q468,Was the package delivered successfully?,Delivery Investigation,,
Q469,Why was this delivery escalated?,Delivery Investigation,,
Q470,What issue did the customer report?,Delivery Investigation,,
Q471,Was the package delivered successfully?,Delivery Investigation,,
Q472,Why was this delivery escalated?,Delivery Investigation,,
Q473,What issue did the customer report?,Delivery Investigation,,
Q474,Was the package delivered successfully?,Delivery Investigation,,
Q475,Why was this delivery escalated?,Delivery Investigation,,
Q476,What issue did the customer report?,Delivery Investigation,,
Q477,Was the package delivered successfully?,Delivery Investigation,,
Q478,Why was this delivery escalated?,Delivery Investigation,,
Q479,What issue did the customer report?,Delivery Investigation,,
Q480,Was the package delivered successfully?,Delivery Investigation,,
Q481,Why was this delivery escalated?,Delivery Investigation,,
Q482,What issue did the customer report?,Delivery Investigation,,
Q483,Was the package delivered successfully?,Delivery Investigation,,
Q484,Why was this delivery escalated?,Delivery Investigation,,
Q485,What issue did the customer report?,Delivery Investigation,,
Q486,Was the package delivered successfully?,Delivery Investigation,,
Q487,Why was this delivery escalated?,Delivery Investigation,,
Q488,What issue did the customer report?,Delivery Investigation,,
Q489,Was the package delivered successfully?,Delivery Investigation,,
Q490,Why was this delivery escalated?,Delivery Investigation,,
Q491,What issue did the customer report?,Delivery Investigation,,
Q492,Was the package delivered successfully?,Delivery Investigation,,
Q493,Why was this delivery escalated?,Delivery Investigation,,
Q494,What issue did the customer report?,Delivery Investigation,,
Q495,Was the package delivered successfully?,Delivery Investigation,,
Q496,Why was this delivery escalated?,Delivery Investigation,,
Q497,What issue did the customer report?,Delivery Investigation,,
Q498,Was the package delivered successfully?,Delivery Investigation,,
Q499,Why was this delivery escalated?,Delivery Investigation,,
Q500,What issue did the customer report?,Delivery Investigation,,
Q501,Was the package delivered successfully?,Delivery Investigation,,
Q502,Why was this delivery escalated?,Delivery Investigation,,
Q503,What issue did the customer report?,Delivery Investigation,,
Q504,Was the package delivered successfully?,Delivery Investigation,,
Q505,Why was this delivery escalated?,Delivery Investigation,,
Q506,What issue did the customer report?,Delivery Investigation,,
Q507,Was the package delivered successfully?,Delivery Investigation,,
Q508,Why was this delivery escalated?,Delivery Investigation,,
Q509,What issue did the customer report?,Delivery Investigation,,
Q510,Was the package delivered successfully?,Delivery Investigation,,
Q511,Why was this delivery escalated?,Delivery Investigation,,
Q512,What issue did the customer report?,Delivery Investigation,,
Q513,Was the package delivered successfully?,Delivery Investigation,,
Q514,Why was this delivery escalated?,Delivery Investigation,,
Q515,What issue did the customer report?,Delivery Investigation,,
Q516,Was the package delivered successfully?,Delivery Investigation,,
Q517,Why was this delivery escalated?,Delivery Investigation,,
Q518,What issue did the customer report?,Delivery Investigation,,
Q519,Was the package delivered successfully?,Delivery Investigation,,
Q520,Why was this delivery escalated?,Delivery Investigation,,
Q521,What issue did the customer report?,Delivery Investigation,,
Q522,Was the package delivered successfully?,Delivery Investigation,,
Q523,Why was this delivery escalated?,Delivery Investigation,,
Q524,What issue did the customer report?,Delivery Investigation,,
Q525,Was the package delivered successfully?,Delivery Investigation,,
Q526,Why was this delivery escalated?,Delivery Investigation,,
Q527,What issue did the customer report?,Delivery Investigation,,
Q528,Was the package delivered successfully?,Delivery Investigation,,
Q529,Why was this delivery escalated?,Delivery Investigation,,
Q530,What issue did the customer report?,Delivery Investigation,,
