QueryID,Query,Query Category,System Output,Remarks,RetrievedCallIDs,IDRecall
Q73,Q73,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q74,Q74,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q75,Q75,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q76,Q76,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q77,Q77,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q78,Q78,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q79,Q79,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q80,Q80,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q81,Q81,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q82,Q82,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q83,Q83,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q84,Q84,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q85,Q85,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q86,Q86,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q87,Q87,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q88,Q88,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q89,Q89,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q90,Q90,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q91,Q91,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q92,Q92,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q93,Q93,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q94,Q94,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q95,Q95,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q96,Q96,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q97,Q97,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q98,Q98,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q99,Q99,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q100,Q100,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q101,Q101,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q102,Q102,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q103,Q103,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q104,Q104,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q105,Q105,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q106,Q106,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q107,Q107,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q108,Q108,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q109,Q109,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q110,Q110,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q111,Q111,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q112,Q112,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q113,Q113,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q114,Q114,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q115,Q115,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q116,Q116,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q117,Q117,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q118,Q118,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q119,Q119,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q120,Q120,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q121,Q121,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q122,Q122,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q123,Q123,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q124,Q124,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q125,Q125,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q126,Q126,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q127,Q127,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q128,Q128,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q129,Q129,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q130,Q130,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q131,Q131,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q132,Q132,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q133,Q133,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q134,Q134,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q135,Q135,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q136,Q136,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q137,Q137,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q138,Q138,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q139,Q139,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q140,Q140,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q141,Q141,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q142,Q142,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q143,Q143,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q144,Q144,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q145,Q145,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q146,Q146,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q147,Q147,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q148,Q148,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q149,Q149,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q150,Q150,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q151,Q151,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q152,Q152,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q153,Q153,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q154,Q154,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q155,Q155,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q156,Q156,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q157,Q157,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q158,Q158,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q159,Q159,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q160,Q160,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q161,Q161,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q162,Q162,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q163,Q163,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q164,Q164,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q165,Q165,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q166,Q166,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q167,Q167,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q168,Q168,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q169,Q169,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q170,Q170,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q171,Q171,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q172,Q172,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q173,Q173,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q174,Q174,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q175,Q175,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q176,Q176,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q177,Q177,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q178,Q178,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q179,Q179,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q180,Q180,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q181,Q181,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q182,Q182,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q183,Q183,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q184,Q184,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q185,Q185,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q186,Q186,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q187,Q187,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q188,Q188,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q189,Q189,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q190,Q190,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q191,Q191,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q192,Q192,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q193,Q193,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q194,Q194,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q195,Q195,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q196,Q196,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q197,Q197,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q198,Q198,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q199,Q199,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q200,Q200,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q201,Q201,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q202,Q202,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q203,Q203,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q204,Q204,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q205,Q205,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q206,Q206,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q207,Q207,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q208,Q208,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q209,Q209,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q210,Q210,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q211,Q211,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q212,Q212,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q213,Q213,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q214,Q214,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q215,Q215,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q216,Q216,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q217,Q217,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q218,Q218,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q219,Q219,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q220,Q220,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q221,Q221,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q222,Q222,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q223,Q223,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q224,Q224,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q225,Q225,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q226,Q226,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q227,Q227,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q228,Q228,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q229,Q229,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q230,Q230,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q231,Q231,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q232,Q232,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q233,Q233,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q234,Q234,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q235,Q235,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q236,Q236,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q237,Q237,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q238,Q238,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q239,Q239,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q240,Q240,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q241,Q241,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q242,Q242,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q243,Q243,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q244,Q244,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q245,Q245,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q246,Q246,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q247,Q247,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q248,Q248,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q249,Q249,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q250,Q250,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q251,Q251,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q252,Q252,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q253,Q253,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q254,Q254,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q255,Q255,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q256,Q256,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q257,Q257,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q258,Q258,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q259,Q259,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q260,Q260,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q261,Q261,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q262,Q262,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q263,Q263,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q264,Q264,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q265,Q265,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q266,Q266,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q267,Q267,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q268,Q268,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q269,Q269,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q270,Q270,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q271,Q271,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q272,Q272,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q273,Q273,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q274,Q274,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q275,Q275,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q276,Q276,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q277,Q277,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
Q278,Q278,Delivery Investigation,Please refer to the retrieved transcripts for your query.,Faithful,"301,302",1.0
